,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
0,0.0,Tue Sep 11 23:14:15 +0000 2018,0.0,1.0,0.0,#JETS,@damienwoody @Espngreeny @mikefreemanNFL @JimTrotter_NFL @DonLagreca @JosinaAnderson @JoyTaylorTalks @TaylorRooks… https://t.co/4PFPUsKAI9,1
1,0.0,Tue Sep 11 23:13:29 +0000 2018,0.0,1.0,0.0,#JETS,RT @damienwoody: Just watched #Jets game again...that boy @TheAdamsEra is a DAWG!,2
2,0.34,Tue Sep 11 23:13:26 +0000 2018,0.0,0.902,0.098,#JETS,RT @DAitken90: The Bowles “doesn’t play young players” thing starting to look less about Bowles and more about what he’s been given. #Jets…,3
3,0.8011,Tue Sep 11 23:13:03 +0000 2018,0.0,0.745,0.255,#JETS,RT @SamDarnoldFans: IF Sam Darnold throws a TD tonight we will give this to a lucky winner tomorrow who FOLLOWS me Retweets this!! Must fol…,4
4,0.4588,Tue Sep 11 23:13:00 +0000 2018,0.0,0.8,0.2,#JETS,@youngamazing9 You already know Robby my favorite player in the league #Jets https://t.co/KCanHF0w6H,5
5,0.6369,Tue Sep 11 23:12:13 +0000 2018,0.0,0.802,0.198,#JETS,RT @DuaneRankin: Former Alabama State star and #Browns RB Isaiah Crowell making strong first impression with new team on 62-yard TD run as…,6
6,-0.0516,Tue Sep 11 23:12:13 +0000 2018,0.176,0.662,0.162,#JETS,Yeah. After a warm-up act from “Inside the #Jets” 😬 https://t.co/tBLLdX1PtG,7
7,0.0,Tue Sep 11 23:12:06 +0000 2018,0.0,1.0,0.0,#JETS,RT @MMehtaNYDN: Look at Sam Darnold’s subtle shoulder movement in the direction of Neal Sterling. Prompted S Tavon Wilson to take step forw…,8
8,0.3182,Tue Sep 11 23:12:03 +0000 2018,0.0,0.85,0.15,#JETS,"RT @knicksjets4life: ""You #Jets fans should calm down"" .  ""It's just one game""

ME https://t.co/GJG4sDnBK5",9
9,0.4215,Tue Sep 11 23:11:14 +0000 2018,0.0,0.882,0.118,#JETS,RT @ConnorJRogers: Last night was the Darron Lee the #Jets were hoping for when they took him in the 1st round https://t.co/HDum2v8Shk,10
10,0.2263,Tue Sep 11 23:11:09 +0000 2018,0.0,0.921,0.079,#JETS,"I caught a lot of heat for keeping my faith in @DLeeMG8 through this past season, but he went out and did this Week… https://t.co/gt1LXz84JE",11
11,-0.5423,Tue Sep 11 23:11:06 +0000 2018,0.235,0.667,0.098,#JETS,RT @DylanCollins95: . @JerseyKidPicks Holy shit let’s give #Jerseykid a big Retweet &amp; like he’s on absolute fire hitting everything I’m alr…,12
12,0.4404,Tue Sep 11 23:10:58 +0000 2018,0.0,0.892,0.108,#JETS,RT @GreggHenglein: 8-7-1 in Week One ATS. Any time you can get above .500 in the opening week it's a good thing. #Buccaneers stuffed it in…,13
13,0.0,Tue Sep 11 23:10:54 +0000 2018,0.0,1.0,0.0,#JETS,"🚨NEW VIDEO🚨: Jets vs Lions highlights #JETS 

https://t.co/NmYY5nEMop",14
